Links,Open,Craft Beer,Address,Closed,Type,Coordinates,Lat,Lon
"San Marcos Brewery & Grill (San Marcos, 1991)",1991,San Marcos Brewery & Grill,"1080 W. San Marcos Blvd. #108, San Marcos, CA 92078",,tasting room / restaurant,"33.1344351, -117.1909682",33.1344351,-117.1909682
"Second Chance Beer Co. (Carmel Mountain Ranch, 2015)",2015,Second Chance Beer Co.,"15378 Avenue of Science #222, San Diego, CA 92128",,tasting room / brewery,"32.9947534, -117.0820744",32.9947534,-117.0820744
"Smoking Cannon Brewery (Ramona, 2017)",2017,Smoking Cannon Brewery,"780 Main St, Ramona, CA 92065",,tasting room / brewery,"33.0436042, -116.8649909",33.0436042,-116.8649909
"Societe Brewing Co. (Kearny Mesa, 2012)",2012,Societe Brewing Co.,"8262 Clairemont Mesa Blvd San Diego, CA 92111",,tasting room / brewery,"32.8338579, -117.1463732",32.8338579,-117.1463732
"South Park Brewing Co. (South Park, 2015)",2015,South Park Brewing Co.,"1537 30th Street, San Diego, CA 92102",,tasting room / restaurant,"32.7220418, -117.1298992",32.7220418,-117.1298992
"SR76 Beerworks (Valley Center, 2017)",2017,SR76 Brewery,"777 Harrah's Rincon Way, Valley Center, CA 92082",,tasting room,"33.2675940, -116.9554387",33.267594,-116.9554387
Saint Archer Brewing Co.,2013,Saint Archer Brewing Co.,"9550 Distribution Ave. San Diego, CA 92121",,tasting room / subsidary of MillerCoors,"32.8804822, -117.1634659",32.8804822,-117.1634659
"Stone Brewing Co. / Stone World Bistro and Gardens (Escondido, 1996)",1996,Stone Brewing Company,"1999 Citracado Parkway, Escondido, CA 92029",,tasting room / restaurant,"33.1158112, -117.1200116",33.1158112,-117.1200116
"Stone World Bistro and Gardens Liberty Station (Liberty Station, 2013)",2013,Stone Brewing Liberty Station,"2816 Historic Decatur Rd #116?, San Diego, CA 92106",,tasting room / restaurant,"32.7406063, -117.2114812",32.7406063,-117.2114812
"Stumblefoot Brewing Company (San Marcos, 2012)",2012,Stumblefoot Brewing Company,"1784 La Costa Meadows Dr #103, San Marcos, CA 92078",,tasting room,"33.1049415, -117.2193149",33.1049415,-117.2193149
"Thorn Brewing Co. (Barrio Logan, 2017)",2017,Thorn Brewing Co.,"1745 National Ave, Barrio Logan, CA 92113",,tasting room,"32.7021405, -117.1477531",32.7021405,-117.1477531
"Thorn St. Brewery (North Park, 2012)",2012,Thorn St. Brewery,"3176 Thorn St., San Diego, CA 92104",,tasting room / food served by alternate,"32.7393987, -117.1254989",32.7393987,-117.1254989
"Thunderhawk Alements (Miramar, 2016)",2016,Thunderhawk Alements,"8675 Miralani Dr, Suite 100, San Diego, CA 92126",,tasting room,"32.8957913, -117.1374768",32.8957913,-117.1374768
"Toolbox Brewing (Vista, 2014)",2014,Toolbox Brewing,"1495 Poinsettia Avenue, Suite 148, Vista, CA 92071",,tasting room,"33.1367570, -117.2268467",33.136757,-117.2268467
" Viewpoint Brewing (Del Mar, 2017)",2017,Viewpoint Brewing Co.,"2201 San Dieguito Dr, Del Mar, CA 92014",,tasting room,"32.9699356, -117.2617788",32.9699356,-117.2617788
"Wavelength Brewing Co. (Vista, 2014)",2014,Wavelength Brewing Co.,"326 Main Street, Vista, CA 92084",,tasting room,"33.2031682, -117.2410031",33.2031682,-117.2410031
"White Labs (Miramar, 2012)",2012,White Labs,"9495 Candida Street, San Diego, CA 92126",,tasting room,"32.8957219, -117.1213738",32.8957219,-117.1213738
"Wild Barrel Brewing Company (San Marcos, 2017)",2017,Wild Barrel Brewing,"692 Rancheros Dr, San Marcos, CA 92069",,tasting room,"33.1401470, -117.1457590",33.140147,-117.145759
Wiseguy Brewing Co.,,Wiseguy Brewing Co.,"5840 El Camino Real, Suite 100, Carlsbad, CA 92008",Closed 9/30/2018,tasting room,"33.1345148, -117.2700916",33.1345148,-117.2700916
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
